id,liczba_mandatow,liczba_mieszkancow,liczba_wyborcow,siedziba_okw,opis_granic
1,12,884568,705355,Legnica,"część województwa dolnośląskiego obejmująca obszary powiatów: bolesławiecki, głogowski, jaworski, kamiennogórski, karkonoski, legnicki, lubański, lubiński, lwówecki, polkowicki, zgorzelecki, złotoryjski oraz miast na prawach powiatu: Jelenia Góra, Legnica"
2,8,578649,469771,Wałbrzych,"część województwa dolnośląskiego obejmująca obszary powiatów: dzierżoniowski, kłodzki, świdnicki, wałbrzyski, ząbkowicki oraz miasta na prawach powiatu: Wałbrzych"
3,14,1202108,991398,Wrocław,"część województwa dolnośląskiego  obejmująca obszary powiatów:  górowski, milicki, oleśnicki, oławski, strzeliński, średzki, trzebnicki, wołowski, wrocławski  oraz miasta na prawach powiatu:  Wrocław"
4,12,924917,736102,Bydgoszcz,"część województwa kujawsko-pomorskiego obejmująca obszary powiatów: bydgoski, inowrocławski, mogileński, nakielski, sępoleński, świecki, tucholski, żniński oraz miasta na prawach powiatu: Bydgoszcz"
5,13,967871,766803,Toruń,"część województwa kujawsko-pomorskiego obejmująca obszary powiatów: aleksandrowski, brodnicki, chełmiński, golubsko-dobrzyński, grudziądzki, lipnowski, radziejowski, rypiński, toruński, wąbrzeski, włocławski oraz miast na prawach powiatu: Grudziądz, Toruń, Włocławek"
6,15,1128896,892899,Lublin,"część województwa lubelskiego obejmująca obszary powiatów: janowski, kraśnicki, lubartowski, lubelski, łęczyński, łukowski, opolski, puławski, rycki, świdnicki oraz miasta na prawach powiatu: Lublin"
7,12,877849,684520,Chełm,"część województwa lubelskiego obejmująca obszary powiatów: bialski, biłgorajski, chełmski, hrubieszowski, krasnostawski, parczewski, radzyński, tomaszowski, włodawski, zamojski oraz miast na prawach powiatu: Biała Podlaska, Chełm, Zamość"
8,12,930419,731347,Zielona Góra,województwo lubuskie
9,10,686258,574427,Łódź,"część województwa łódzkiego obejmująca obszary powiatów: brzeziński, łódzki wschodni oraz miasta na prawach powiatu: Łódź"
10,9,681155,534429,Piotrków Trybunalski,"część województwa łódzkiego obejmująca obszary powiatów: bełchatowski, opoczyński, piotrkowski, radomszczański, rawski, skierniewicki, tomaszowski oraz miast na prawach powiatu: Piotrków Trybunalski, Skierniewice"
11,12,905805,724571,Sieradz,"część województwa łódzkiego obejmująca obszary powiatów: kutnowski, łaski, łęczycki, łowicki, pabianicki, pajęczański, poddębicki, sieradzki, wieluński, wieruszowski, zduńskowolski, zgierski"
12,8,624941,488478,Kraków,"część województwa małopolskiego obejmująca obszary powiatów: chrzanowski, myślenicki, oświęcimski, suski, wadowicki"
13,14,1139919,942480,Kraków,"część województwa małopolskiego obejmująca obszary powiatów: krakowski, miechowski, olkuski oraz miasta na prawach powiatu: Kraków"
14,10,786802,595980,Nowy Sącz,"część województwa małopolskiego obejmująca obszary powiatów: gorlicki, limanowski, nowosądecki, nowotarski, tatrzański oraz miasta na prawach powiatu: Nowy Sącz"
15,9,724866,563478,Tarnów,"część województwa małopolskiego obejmująca obszary powiatów: bocheński, brzeski, dąbrowski, proszowicki, tarnowski, wielicki oraz miasta na prawach powiatu: Tarnów"
16,10,782080,619635,Płock,"część województwa mazowieckiego obejmująca obszary powiatów: ciechanowski, gostyniński, mławski, płocki, płoński, przasnyski, sierpecki, sochaczewski, żuromiński, żyrardowski oraz miasta na prawach powiatu: Płock"
17,9,670809,527564,Radom,"część województwa mazowieckiego obejmująca obszary powiatów: białobrzeski, grójecki, kozienicki, lipski, przysuski, radomski, szydłowiecki, zwoleński oraz miasta na prawach powiatu: Radom"
18,12,930131,725834,Siedlce,"część województwa mazowieckiego obejmująca obszary powiatów: garwoliński, łosicki, makowski, miński, ostrołęcki, ostrowski, pułtuski, siedlecki, sokołowski, węgrowski, wyszkowski oraz miast na prawach powiatu: Ostrołęka, Siedlce"
19,20,1639667,1927793,Warszawa,część województwa mazowieckiego obejmująca obszar miasta na prawach powiatu: Warszawa; zagranica; statki
20,12,1127706,876706,Warszawa,"część województwa mazowieckiego obejmująca obszary powiatów: grodziski, legionowski, nowodworski, otwocki, piaseczyński, pruszkowski, warszawski zachodni, wołomiński"
21,12,901617,730417,Opole,województwo opolskie
22,11,838008,652328,Krosno,"część województwa podkarpackiego obejmująca obszary powiatów: bieszczadzki, brzozowski, jarosławski, jasielski, krośnieński, leski, lubaczowski, przemyski, przeworski, sanocki oraz miast na prawach powiatu: Krosno, Przemyśl"
23,15,1220907,947474,Rzeszów,"część województwa podkarpackiego obejmująca obszary powiatów: dębicki, kolbuszowski, leżajski, łańcucki, mielecki, niżański, ropczycko-sędziszowski, rzeszowski, stalowowolski, strzyżowski, tarnobrzeski oraz miast na prawach powiatu: Rzeszów, Tarnobrzeg"
24,14,1108053,868241,Białystok,województwo podlaskie
25,12,1000568,813135,Gdańsk,"część województwa pomorskiego obejmująca obszary powiatów: gdański, kwidzyński, malborski, nowodworski, starogardzki, sztumski, tczewski  oraz miast na prawach powiatu: Gdańsk, Sopot"
26,14,1175123,910676,Słupsk,"część województwa pomorskiego obejmująca obszary powiatów: bytowski, chojnicki, człuchowski, kartuski, kościerski, lęborski, pucki, słupski, wejherowski oraz miast na prawach powiatu: Gdynia, Słupsk"
27,9,737912,578133,Bielsko-Biała,"część województwa śląskiego obejmująca obszary powiatów: bielski, cieszyński, pszczyński, żywiecki oraz miasta na prawach powiatu: Bielsko-Biała"
28,7,547045,441106,Częstochowa,"część województwa śląskiego obejmująca obszary powiatów: częstochowski, kłobucki, lubliniecki, myszkowski oraz miasta na prawach powiatu: Częstochowa"
29,9,672575,545201,Katowice,"część województwa śląskiego obejmująca obszary powiatów: gliwicki, tarnogórski oraz miast na prawach powiatu: Bytom, Gliwice, Zabrze"
30,9,670420,530008,Bielsko-Biała,"część województwa śląskiego obejmująca obszary powiatów: mikołowski, raciborski, rybnicki, wodzisławski oraz miast na prawach powiatu: Jastrzębie-Zdrój, Rybnik, Żory"
31,12,854693,695432,Katowice,"część województwa śląskiego obejmująca obszar powiatu: bieruńsko-lędziński oraz miast na prawach powiatu: Chorzów, Katowice, Mysłowice, Piekary Śląskie, Ruda Śląska, Siemianowice Śląskie, Świętochłowice, Tychy"
32,9,610295,499586,Katowice,"część województwa śląskiego obejmująca obszary powiatów: będziński, zawierciański oraz miast na prawach powiatu: Dąbrowa Górnicza, Jaworzno, Sosnowiec"
33,16,1166405,933071,Kielce,województwo świętokrzyskie
34,8,576370,449980,Elbląg,"część województwa warmińsko-mazurskiego obejmująca obszary powiatów: bartoszycki, braniewski, działdowski, elbląski, iławski, lidzbarski, nowomiejski, ostródzki oraz miasta na prawach powiatu: Elbląg"
35,10,741708,581013,Olsztyn,"część województwa warmińsko-mazurskiego obejmująca obszary powiatów: ełcki, giżycki, gołdapski, kętrzyński, mrągowski, nidzicki, olecki, olsztyński, piski, szczycieński, węgorzewski oraz miasta na prawach powiatu: Olsztyn"
36,12,958820,749353,Kalisz,"część województwa wielkopolskiego obejmująca obszary powiatów: gostyński, jarociński, kaliski, kępiński, kościański, krotoszyński, leszczyński, ostrowski, ostrzeszowski, pleszewski, rawicki oraz miast na prawach powiatu: Kalisz, Leszno"
37,9,742934,580833,Konin,"część województwa wielkopolskiego obejmująca obszary powiatów: gnieźnieński, kolski, koniński, słupecki, średzki, śremski, turecki, wrzesiński oraz miasta na prawach powiatu: Konin"
38,9,745025,575230,Piła,"część województwa wielkopolskiego obejmująca obszary powiatów: chodzieski, czarnkowsko-trzcianecki, grodziski, międzychodzki, nowotomyski, obornicki, pilski, szamotulski, wągrowiecki, wolsztyński, złotowski"
39,10,866222,712724,Poznań,część województwa wielkopolskiego obejmująca obszar powiatu: poznański oraz miasta na prawach powiatu: Poznań
40,8,583587,459778,Koszalin,"część województwa zachodniopomorskiego  obejmująca obszary powiatów: białogardzki, choszczeński, drawski, kołobrzeski, koszaliński, sławieński, szczecinecki, świdwiński, wałecki oraz miasta na prawach powiatu: Koszalin"
41,12,945227,758332,Szczecin,"część województwa zachodniopomorskiego obejmująca obszary powiatów: goleniowski, gryficki, gryfiński, kamieński, łobeski, myśliborski, policki, pyrzycki, stargardzki oraz miast na prawach powiatu: Szczecin, Świnoujście"
